"County","Election District","Election Precinct","Cong","Legs","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"03","001","001","03","46","Barack Obama","DEM","President - Vice Pres","","Y","","330",""
"03","001","001","03","46","Mitt Romney","REP","President - Vice Pres","","","","133",""
"03","001","001","03","46","Gary Johnson","LIB","President - Vice Pres","","","","12",""
"03","001","001","03","46","Jill Stein","GRN","President - Vice Pres","","","","7",""
"03","001","001","03","46","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","James Clymer","CON","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","1",""
"03","001","001","03","46","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Other Write-Ins","BOT","President - Vice Pres","","","Y","3",""
"03","001","001","03","46","Ben Cardin","DEM","U.S. Senator           ","","Y","","274",""
"03","001","001","03","46","Daniel John Bongino","REP","U.S. Senator           ","","","","64",""
"03","001","001","03","46","Dean Ahmad","LIB","U.S. Senator           ","","","","9",""
"03","001","001","03","46","S. Rob Sobhani","UNF","U.S. Senator           ","","","","125",""
"03","001","001","03","46","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"03","001","001","03","46","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"03","001","001","03","46","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"03","001","001","03","46","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"03","001","001","03","46","Other Write-Ins","BOT","U.S. Senator           ","","","Y","0",""
"03","001","001","03","46","John Sarbanes","DEM","Rep in Congress","03","Y","","348",""
"03","001","001","03","46","Eric Delano Knowles","REP","Rep in Congress","03","","","90",""
"03","001","001","03","46","Paul W. Drgos, Jr.","LIB","Rep in Congress","03","","","25",""
"03","001","001","03","46","Other Write-Ins","BOT","Rep in Congress","03","","Y","0",""
"03","001","001","03","46","Kendra Y. Ausby","BOT","Judge of the Circuit Court","08","Y","","250",""
"03","001","001","03","46","Jeannie J. Hong","BOT","Judge of the Circuit Court","08","Y","","250",""
"03","001","001","03","46","Charles J. Peters","BOT","Judge of the Circuit Court","08","Y","","238",""
"03","001","001","03","46","Michael W. Reed","BOT","Judge of the Circuit Court","08","Y","","242",""
"03","001","001","03","46","Yolanda A. Tanner","BOT","Judge of the Circuit Court","08","Y","","240",""
"03","001","001","03","46","David W. Young","BOT","Judge of the Circuit Court","08","Y","","249",""
"03","001","001","03","46","Other Write-Ins","BOT","Judge of the Circuit Court","08","","Y","14",""
"03","001","001","03","46","Robert M. Bell","BOT","Judge Court of Appeals","06","Y","","280","68"
"03","001","001","03","46","Stuart R. Berger","BOT","Judge Special Appeals At Large","","Y","","276","65"
"03","001","001","03","46","Shirley M. Watts","BOT","Judge Special Appeals","06","Y","","289","55"
"03","001","002","03","46","Barack Obama","DEM","President - Vice Pres","","Y","","609",""
"03","001","002","03","46","Mitt Romney","REP","President - Vice Pres","","","","223",""
"03","001","002","03","46","Gary Johnson","LIB","President - Vice Pres","","","","27",""
"03","001","002","03","46","Jill Stein","GRN","President - Vice Pres","","","","25",""
"03","001","002","03","46","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Santa Claus","IND","President - Vice Pres","","","Y","1",""
"03","001","002","03","46","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","James Clymer","CON","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","1",""
"03","001","002","03","46","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","03","46","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
