"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","SPSS data analysis and description","https://www.upwork.com/job/SPSS-data-analysis-and-description_~0172fc4bd2b77221ac/","Expert",15,2019-06-18,"Hello! I'm looking for a skilled statistics professional with deep SPSS knowledge to analyze some data and give me the results. The essay is not something special, it won't take more than a couple hours.","IBM SPSS",NA,"$30 ","5.00 Stars, based on 1 feedback","Greece",NA,5,1
"2","Advanced Excel/Pivot data","https://www.upwork.com/job/Advanced-Excel-Pivot-data_~0140ae10c5e640d80e/","Intermediate",NA,2019-06-18,"Take attached form and produce below reports: Total Unique Outbound Customers (how many people were called) Total Booked Outbound Customers (how many booked) Job Total Average ($) For Booked Customers (average) Total Calls On Average Before Booked (how many calles occured before the booking occured) Total Duration Average for Booked Customers (average length of call) less","Microsoft Excel",NA,"$200k+ ","4.83 Stars, based on 118 feedbacks","United States",NA,4.83,118
"3","Predictive Analysis for Renal Patients","https://www.upwork.com/job/Predictive-Analysis-for-Renal-Patients_~01493083f98c7656f5/","Intermediate",NA,2019-06-18,"I am trying to build a program for our medical practice where we gather the risk factors and predict the risk of kidney failure. I need help with graphic designs and reporting. AI analytics is also possible here but an expert with predictive analysis will be the best for this job. This job was posted from a mobile device, so please pardon any typos or any missing details. less","Data Analytics, Statistics",NA,"$2k+ ","5.00 Stars, based on 3 feedbacks","United States",NA,5,3
"4","Operations Business Analyst","https://www.upwork.com/job/Operations-Business-Analyst_~01dc6c110b54a93010/","Intermediate",NA,2019-06-18,"Job Description: - Responsible for requirement gathering - Data acquisition, analysis, and reporting Job Responsibilities: - Ensure that complex business requirements are accurately captured, documented, communicated, and accurately implemented. - ... more","Data Analytics, Microsoft Excel, Quantitative Analysis, ",2,"$100M+ ","4.96 Stars, based on 3884 feedbacks","United States","Enterprise",4.96,3884
"5","Expert level Excel needed.","https://www.upwork.com/job/Expert-level-Excel-needed_~019cd2197acc49c8f4/","Expert",15,2019-06-18,"Excel formula needed for 6 columns in an Existing Spreadsheet with two tabs. I can send you the spreadsheet to determine if you can make the formulas for the six cells.","Microsoft Excel",NA,"$2k+ ","4.76 Stars, based on 34 feedbacks","Canada",NA,4.76,34
"6","Fluorescence and Raman spectrum raw data analysis.","https://www.upwork.com/job/Fluorescence-and-Raman-spectrum-raw-data-analysis_~01c007fe4614f72d18/","Intermediate",NA,2019-06-18,"We are developing a low cost handheld Raman and Fluorescence spectrometer. We are looking for some help in testing / developing algorithms to clean up the raw data into usable data for machine learning and to identify whether the test substance is ""good"" or ""bad"". Good candidates should be well versed in algorithms involving the removal of fluorescence background from a Raman signal, PCA, typical Raman classification algorithms (root mean square and alike). We have a machine learning team in place in India who are experimenting with deep learning and neural networks, but that is new to them so any insight into that world would also be useful. Our expectation is improve our ability to detect a ""good"" vs. ""bad"" sample by pre-processing the data using traditional or new Raman/ fluorescence techniques before sending that data to the machine learning algorithms. Attached is a sample picture and raw data from one of our scanners. less",NA,NA,"$1k+ ","5.00 Stars, based on 3 feedbacks","United States",NA,5,3
"7","Investment simulator and back test","https://www.upwork.com/job/Investment-simulator-and-back-test_~0148954f701fb4363b/","Intermediate",NA,2019-06-18,"We want someone to build a simulator that buys and sells equities based on pre-set rules, and back tests against market history to calculate returns. Markets: * UK, Germany, Netherlands, Finland, Sweden, Italy Each day buy according to the following rules: * Dividend yield between 7% and 12% * Market cap greater than EUR 300m and lower than EUR 1 billion * For each company ensure that dividend payments are sustainable: * For last twelve months, the ratio of dividend paid / (free cash flow + one-off costs) < 0.8 Do not buy if: * Revenue has fallen by more than 15% over 2 years * Ratio of revenue/EBITDA has risen by more than 15% over 2 years For each day sell according to the following rules: * Dividend yield is lower than 6% * Dividend yield has fallen by more than 25% since purchase * Dividend yield has risen by more than 15% since purchase We would like for the strategy to be tested against a reasonable time period, at least 5 years (ideally as long as you can do it). If any of these countries is particularly hard to get data for, please tell us and we will consider removing it. We are happy for you to use any tools you’d like to write this software. Ideally python and that we can host. less","Python",NA,"$10k+ ","4.76 Stars, based on 23 feedbacks","Singapore",NA,4.76,23
"8","Data Analytics","https://www.upwork.com/job/Data-Analytics_~01ddb92307187f599d/","Entrylevel",1000,2019-06-18,"Title: Contract Content Analyst - a distant job Description: A contract analyst works with incentive agreement documents. These are legal business documents describing the incentive model established between an airline (or a group of affiliated airlines) and a travel agency. The analyst is required to: 1. Correctly identify the key elements in each incentive plan. For example: start and end date, incentive target types (e.g. coupons sold, revenue in specific currency), incentive payment types (e.g. percentage of qualifying revenue, $ per coupon, fixed incentive), specific terms and conditions related to inclusion for target and for payment (e.g. specific geographies and fare classes included/excluded, specific flight codes or operating airlines), linkage between plans (e.g. one plan is a safety plan, operating only in case the agency failed to meet the minimal target in some other plan) 2. Identify and interact with the customer, in English, to obtain any missing information, such as last year's sales in case of a year-over-year growth target. 3. Correctly model the plan's parameters in a computer-readable file in JSON format. Upload the JSON file to a staging system, and ensure it's correctly displayed in the product. 4. Correctly report to the engineering team any plan characteristics which could not be correctly modeled due to shortcomings of the existing JSON format. Work with the team to suggest extension to the JSON format. Required Experience: Law student with a technical background OR a technology student / junior with aviation or legal background OR travel agent with a mind for technology Company: A startup company from San Francisco, Tel Aviv, and Kiev. Its mission is to make airline-agencies commercial relationships stronger and more effective. That, by our practice, creates a better profit for both sides. Product: a data-driven platform allowing travel agencies and airlines to track incentive plans, in real time, to optimize sales and profit margins. less",NA,NA,"$0 ","No feedback yet","Ukraine",NA,NA,NA
"9","Create excel spreadsheet for card game combinatorics analysis","https://www.upwork.com/job/Create-excel-spreadsheet-for-card-game-combinatorics-analysis_~014c2bee33d99f56ed/","Intermediate",NA,2019-06-18,"Create a spreadsheet or series of spreadsheets for analysing draws and probabilities from a pack of cards in various card games.","Excel",NA,"$0 ","No feedback yet","United Kingdom",NA,NA,NA
"10","Crystal reports","https://www.upwork.com/job/Crystal-reports_~01c2d88ec0d4dfdef0/","Expert",200,2019-06-18,"Sap b1 crystal reports need to write lots of crystal reports.",NA,NA,"$0 ","No feedback yet","Australia",NA,NA,NA
"11","Google Analytics & Data Studio Expert for Global Education Company","https://www.upwork.com/job/Google-Analytics-amp-Data-Studio-Expert-for-Global-Education-Company_~019e2164e0bdd086ed/","Intermediate",NA,2019-06-18,"Project Title: Google Analytics & Data Studio Expert for Global Education Company Web: www.startupcourse.com About Us: We are a global education training company focused on entrepreneurship and innovation work for the past 10 years. We operate in over 20 countries and have over 5,000 students. Our team consists of credible professors and mentors. We have developed an online course to help first-time founders launch their startup and raise money with our research-backed blueprint. Our HQ is based in Toronto, Canada & Singapore. Our Goals: We are looking for a well-rounded Google Analytics & Data Studio Expert with 5+ years experience to setup our analytics and reporting dashboard with a focus on Conversion Rate Optimization (CRO) that are anticipated to require around 10-15 hours per week. Responsibilities: Setup Google Analytics Tracking and Dashboard with Google Tag Manager Setup Google Studio Dashboard for reporting Conversion Rate Optimization (CRO) App scripts to create link Facebook Business Manager Account, Hubspot CRM, Thinkific, Xero and Google Sheets to create Data Studio dashboards. The following skills are a must: Google Analytics Google Data Studio Google Tag Manager less","Google Analytics",NA,"$10k+ ","4.87 Stars, based on 4 feedbacks","Singapore",NA,4.87,4
"12","Google Analytics Expert","https://www.upwork.com/job/Google-Analytics-Expert_~01319895812debb1a1/","Expert",NA,2019-06-18,"Hi, I'm in the need of an expert in Google analytics to set up accurate tracking. I have an ecommerce website set up with woocommerce. However, the data in Google analytics is not tracking accurately and I need someone to come in and fix this for me. The number of conversions on Google analytics isn't tracking all sales and visitors in comparison to my actual sales. This will be a small job initially but I will need an ongoing expert for google analytics to support in creating custom reports and audiences. Please state 'bad mama jamma' in your application form and I look forward to hearing from you. Thanks. less",NA,NA,"$8k+ ","4.16 Stars, based on 41 feedbacks","United Kingdom",NA,4.16,41
"13","Looking for an experienced R/Phyton developer to run an EDA","https://www.upwork.com/job/Looking-for-experienced-Phyton-developer-run-EDA_~01ab5d72240d565791/","Entrylevel",15,2019-06-18,"The task would be easy. I'll be sharing dataset(.csv) related to food experiences. You'll have to work with it, modify it as you wish within the code, but you can't create a new data set file. I'll run your code facing a file stored in a server that ... more","R, Python",NA,"$90+ ","4.92 Stars, based on 5 feedbacks","Spain",NA,4.92,5
"14","Betfair data mining and analysis","https://www.upwork.com/job/Betfair-data-mining-and-analysis_~01f24d9fce5c910287/","Intermediate",NA,2019-06-18,"I'm looking for a method or program by which a (non-programmer) Windows PC user (me) can download Betfair data files and extract the information I am looking for. This request is to extract from the free Betfair data available. I'll then use this project to decide if I should subscribe to the Betfair historical data service. Data Source - compressed tar file (BZ2) of json format. Output - I am looking for a breakdown of starting prices and win % of different locations around Australia I'd like a csv or Excel file with the columns - Place ; Date ; Time ; Place ; Race Description ; Name of runner ; Betfair Starting Price ; outcome ; This job was posted from a mobile device, so please pardon any typos or any missing details. less","Data Analytics, Data Science, Excel VBA, IBM SPSS,   ",NA,"$4k+ ","5.00 Stars, based on 9 feedbacks","Australia",NA,5,9
"15","2001 R data analysis t4g8f0r8d7c5b","https://www.upwork.com/job/2001-data-analysis-t4g8f0r8d7c5b_~01c8e9078149e832d1/","Intermediate",20,2019-06-18,"I am looking for an experienced data analyst who could help me with data processing in R software. The price is negotiable",NA,NA,"$600k+ ","4.81 Stars, based on 3669 feedbacks","Estonia",NA,4.81,3669
"16","BI Implementation","https://www.upwork.com/job/Implementation_~011139dcfc5b6f36a6/","Entrylevel",NA,2019-06-18,"A big German manufacturer wants to implement Power BI in one of its departments. We are looking for someone who is familiar with Power BI, big data servers and programming. For more details let's have a talk","BigQuery",NA,"$0 ","No feedback yet","Romania",NA,NA,NA
"17","GA expert needed - set up dashboard, provide analysis and report for last 12 months of data.","https://www.upwork.com/job/expert-needed-set-dashboard-provide-analysis-and-report-for-last-months-data_~012967b77a398f19b2/","Intermediate",NA,2019-06-18,"I want an analytics dashboard set up with key metrics, measured monthly over last 12 months, and a report on key findings and insights. I'm looking for someone who can translate numbers into a story that allows decisions to be made about how marketing budget should be allocated. Detailed brief to be provided to chosen freelancer. less","Google Analytics",NA,"$200 ","5.00 Stars, based on 1 feedback","Australia",NA,5,1
"18","Create an algorithm utilizing data in the energy sector.","https://www.upwork.com/job/Create-algorithm-utilizing-data-the-energy-sector_~01289703c70762196b/","Intermediate",NA,2019-06-18,"I am looking for someone that specializes in commercial mathematics and algorithms in the energy sector. I will provide electrical data. I need someone build an algorithm with this data to solve various questions with a high probability.",NA,NA,"$0 ","No feedback yet","United States",NA,NA,NA
